thread_id,neutral,oppose,support,w_total,support_rate,oppose_rate,neutral_rate,controversy,resonance
Ugg-Qk8_t9QH4ngCoAEC,1.0,0.0,0.0,1.0,0.0,0.0,0.9999999989999999,1.0,0.0
Ugg2gz2Ig1A3CngCoAEC,4.0,0.0,0.0,4.0,0.0,0.0,0.99999999975,1.0,0.0
Ugg5ZONoXzvGQngCoAEC,24.0,9.0,0.0,33.0,0.0,0.2727272727190083,0.7272727272506888,0.7272727272809917,0.0
Ugg6HVlAI-KJm3gCoAEC,2.0,7.0,0.0,9.0,0.0,0.777777777691358,0.22222222219753085,0.22222222230864197,0.0
Ugg7pwYBzPVsQHgCoAEC,1.0,0.0,0.0,1.0,0.0,0.0,0.9999999989999999,1.0,0.0
UggA17JyUjNyDXgCoAEC,68.0,65.0,0.0,133.0,0.0,0.4887218045076036,0.5112781954848776,0.5112781954923964,0.0
UggAO1rHLa-Rx3gCoAEC,1.0,0.0,0.0,1.0,0.0,0.0,0.9999999989999999,1.0,0.0
UggAqfn6Qp_XO3gCoAEC,18.0,26.0,3.0,47.0,0.06382978723268448,0.5531914893499321,0.3829787233961069,0.5106382978827524,0.06382978723268448
UggBQqof7e7EZngCoAEC,16.0,77.0,0.0,93.0,0.0,0.827956989238409,0.17204301075083825,0.172043010761591,0.0
UggDY3jrwOzKg3gCoAEC,6.0,0.0,0.0,6.0,0.0,0.0,0.9999999998333333,1.0,0.0
UggFl95LVWkLmHgCoAEC,5.0,0.0,0.0,5.0,0.0,0.0,0.9999999998,1.0,0.0
UggGAwOF-JnkpXgCoAEC,4.0,3.0,0.0,7.0,0.0,0.4285714285102041,0.5714285713469388,0.571428571489796,0.0
UggGwasSLatpZ3gCoAEC,3.0,0.0,0.0,3.0,0.0,0.0,0.9999999996666666,1.0,0.0
UggHjQcNS_VoFngCoAEC,1.0,0.0,0.0,1.0,0.0,0.0,0.9999999989999999,1.0,0.0
UggK44AsRxHCN3gCoAEC,1.0,0.0,0.0,1.0,0.0,0.0,0.9999999989999999,1.0,0.0
UggKfoYe9ib1l3gCoAEC,46.0,0.0,0.0,46.0,0.0,0.0,0.999999999978261,1.0,0.0
UggMDyjUzP3uO3gCoAEC,8.0,0.0,0.0,8.0,0.0,0.0,0.999999999875,1.0,0.0
UggNpqpVhdLYFHgCoAEC,19.0,3.0,0.0,22.0,0.0,0.136363636357438,0.8636363635971074,0.863636363642562,0.0
UggPZdFBBS-DwngCoAEC,18.0,21.0,0.0,39.0,0.0,0.5384615384477318,0.46153846152662725,0.4615384615522682,0.0
UggPs7y3og6aHngCoAEC,5.0,0.0,0.0,5.0,0.0,0.0,0.9999999998,1.0,0.0
UggU9LPn_PRfGngCoAEC,7.0,0.0,0.0,7.0,0.0,0.0,0.9999999998571428,1.0,0.0
UggUUg8JJJ2R93gCoAEC,1.0,0.0,0.0,1.0,0.0,0.0,0.9999999989999999,1.0,0.0
UggUXX-e5qI8l3gCoAEC,47.0,11.0,0.0,58.0,0.0,0.1896551724105232,0.8103448275722355,0.8103448275894768,0.0
UggV2NgL2lCYeHgCoAEC,17.0,29.0,0.0,46.0,0.0,0.6304347825949906,0.36956521738327036,0.36956521740500936,0.0
UggX6kB5IPWSS3gCoAEC,3.0,0.0,0.0,3.0,0.0,0.0,0.9999999996666666,1.0,0.0
Uggb8ofvjUl6JXgCoAEC,2.0,1.0,0.0,3.0,0.0,0.3333333332222222,0.6666666664444444,0.6666666667777779,0.0
UggbDvqqW_1ImXgCoAEC,0.0,2.0,0.0,2.0,0.0,0.9999999995,0.0,5.000000413701855e-10,0.0
UggdkOM-kwQFnHgCoAEC,0.0,1.0,0.0,1.0,0.0,0.9999999989999999,0.0,1.000000082740371e-09,0.0
UggfaV6DKD4rnXgCoAEC,0.0,2.0,0.0,2.0,0.0,0.9999999995,0.0,5.000000413701855e-10,0.0
Uggg7KR10CBZ-3gCoAEC,3.0,1.0,0.0,4.0,0.0,0.2499999999375,0.7499999998125,0.7500000000625,0.0
UgggIRxDt5dn2HgCoAEC,10.0,3.0,0.0,13.0,0.0,0.2307692307514793,0.7692307691715976,0.7692307692485207,0.0
Ugghal7vnkF7engCoAEC,27.0,35.0,0.0,62.0,0.0,0.564516129023153,0.435483870960718,0.43548387097684704,0.0
UgglnKKktpPM7HgCoAEC,1.0,2.0,0.0,3.0,0.0,0.6666666664444444,0.3333333332222222,0.3333333335555556,0.0
Uggm9pCss58HWngCoAEC,1.0,0.0,0.0,1.0,0.0,0.0,0.9999999989999999,1.0,0.0
UggnRQFKl83Fi3gCoAEC,1.0,0.0,0.0,1.0,0.0,0.0,0.9999999989999999,1.0,0.0
UggnUFhUME_bvHgCoAEC,1.0,0.0,0.0,1.0,0.0,0.0,0.9999999989999999,1.0,0.0
UggnfyneQzoUy3gCoAEC,1.0,1.0,0.0,2.0,0.0,0.49999999975,0.49999999975,0.50000000025,0.0
UggnzXgjsO4EyngCoAEC,7.0,3.0,0.0,10.0,0.0,0.29999999997,0.69999999993,0.70000000003,0.0
UggoSunB4eJR4HgCoAEC,4.0,2.0,0.0,6.0,0.0,0.33333333327777775,0.6666666665555555,0.6666666667222223,0.0
UggqZinrS-taPXgCoAEC,1.0,0.0,0.0,1.0,0.0,0.0,0.9999999989999999,1.0,0.0
Uggr02UgSMf8NngCoAEC,35.0,5.0,0.0,40.0,0.0,0.12499999999687501,0.874999999978125,0.875000000003125,0.0
UggyGI20pGJ1Q3gCoAEC,2.0,0.0,0.0,2.0,0.0,0.0,0.9999999995,1.0,0.0
Uggyk7uxSLx17XgCoAEC,15.0,0.0,0.0,15.0,0.0,0.0,0.9999999999333333,1.0,0.0
Ugh7dOb0IwptLngCoAEC,7.0,1.0,2.0,10.0,0.19999999998,0.09999999999,0.69999999993,0.90000000001,0.19999999998
UghBWGuhaVEJHHgCoAEC,1.0,0.0,0.0,1.0,0.0,0.0,0.9999999989999999,1.0,0.0
UghBlF_Oe4J-NHgCoAEC,4.0,0.0,0.0,4.0,0.0,0.0,0.99999999975,1.0,0.0
UghETsWZ8HeG-HgCoAEC,0.0,2.0,2.0,4.0,0.499999999875,0.499999999875,0.0,1.0,0.499999999875
UghEhB-7RrdG5XgCoAEC,1.0,0.0,0.0,1.0,0.0,0.0,0.9999999989999999,1.0,0.0
UghIEtw_IBNreXgCoAEC,7.0,0.0,0.0,7.0,0.0,0.0,0.9999999998571428,1.0,0.0
UghJQYa8koHErngCoAEC,0.0,0.0,1.0,1.0,0.9999999989999999,0.0,0.0,1.000000082740371e-09,0.9999999989999999
UghMWne-yLlM93gCoAEC,155.0,51.0,2.0,208.0,0.009615384615338387,0.2451923076911289,0.745192307688725,0.7644230769242095,0.009615384615338387
UghNFYW77-bMhXgCoAEC,6.0,0.0,0.0,6.0,0.0,0.0,0.9999999998333333,1.0,0.0
UghPNJq0Ad1UD3gCoAEC,14.0,3.0,4.0,21.0,0.1904761904671202,0.14285714285034012,0.6666666666349206,0.95238095238322,0.1904761904671202
UghPXTFVbtzhuHgCoAEC,123.0,153.0,7.0,283.0,0.024734982332068074,0.5406360424009165,0.4346289752634819,0.4840989399311516,0.024734982332068074
UghScvs6jKvdOXgCoAEC,116.0,0.0,0.0,116.0,0.0,0.0,0.9999999999913792,1.0,0.0
UghTx_Izt1VMHngCoAEC,14.0,10.0,0.0,24.0,0.0,0.4166666666493056,0.5833333333090278,0.5833333333506945,0.0
UghXzhwqYiAwEHgCoAEC,33.0,16.0,10.0,59.0,0.16949152542085608,0.2711864406733697,0.5593220338888251,0.8983050847474864,0.16949152542085608
UghYAC43yy4Jg3gCoAEC,41.0,1.0,0.0,42.0,0.0,0.023809523808956918,0.9761904761672336,0.976190476191043,0.0
Ugh_RkSYAfzHfngCoAEC,14.0,0.0,0.0,14.0,0.0,0.0,0.9999999999285715,1.0,0.0
Ugh_mPONWEWAsHgCoAEC,5.0,1.0,0.0,6.0,0.0,0.16666666663888888,0.8333333331944445,0.8333333333611112,0.0
UghaG3zaKd7vwXgCoAEC,0.0,0.0,8.0,8.0,0.999999999875,0.0,0.0,1.2500001034254637e-10,0.999999999875
Ughebzc2SeVkRngCoAEC,5.0,20.0,0.0,25.0,0.0,0.799999999968,0.199999999992,0.20000000003200002,0.0
UghgeeQoPLAdNXgCoAEC,4.0,0.0,0.0,4.0,0.0,0.0,0.99999999975,1.0,0.0
Ughh1p6aII99N3gCoAEC,55.0,0.0,0.0,55.0,0.0,0.0,0.9999999999818182,1.0,0.0
UghhmUUhzdW4CXgCoAEC,14.0,0.0,0.0,14.0,0.0,0.0,0.9999999999285715,1.0,0.0
UghicCdoStoDCHgCoAEC,0.0,5.0,0.0,5.0,0.0,0.9999999998,0.0,2.000000165480742e-10,0.0
Ughj_UOz8NuZQngCoAEC,4.0,0.0,0.0,4.0,0.0,0.0,0.99999999975,1.0,0.0
Ughk14Tm6FqSpHgCoAEC,1.0,0.0,0.0,1.0,0.0,0.0,0.9999999989999999,1.0,0.0
UghlGLpLF9mjCHgCoAEC,0.0,1.0,0.0,1.0,0.0,0.9999999989999999,0.0,1.000000082740371e-09,0.0
UghmF9K9igBAu3gCoAEC,1.0,0.0,0.0,1.0,0.0,0.0,0.9999999989999999,1.0,0.0
